paper_id,pmid,year,source_collection,center,pi_candidates,title,decision_reason,parse_status,parse_source_type,viruses,host_systems,assay_types,dataset_repositories,dataset_accessions,resource_types,resource_links,raw_data_available,processed_data_available,code_available,reuse_value,pathway_relevance,access_friction,priority_bucket
pmid-38375062,38375062,2024,pi-backlog,CViSB,Donald S Grant,Upper Airway Epithelial Tissue Transcriptome Analysis Reveals Immune Signatures Associated with COVID-19 Severity in Ghanaians.,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",cached_normalized,pmc_xml,sars_cov_2;sars_cov_1;coronavirus_general,airway_epithelium,,GEO,GEO:GSE166530,,,true,true,false,medium,medium,low,tier_1
pmid-37000623,37000623,2023,current-program,CViSB,Ryan McNamara,Fc-mediated pan-sarbecovirus protection after alphavirus vector vaccination.,explicit cross-virus/shared-host full-text language: cross-virus,cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,Vero_E6_cells;macrophages;mice;hamsters;bat_cells_or_hosts;human_patients,network_analysis,,,GitHub,github.com/LoosC/systemsseRology,false,false,true,medium,medium,medium,tier_1
pmid-36095012,36095012,2022,pi-backlog,HPMI,Melanie Ott,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",cached_normalized,pmc_xml,sars_cov_2,A549_cells;Calu-3_cells;HEK293T_cells;Vero_E6_cells;human_lung_tissue;mice,proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;imaging;genetic_perturbation,,,GitHub,github.com/GoldfarbLab/H522_paper_figures;github.com/mariuswalter/SIRT5_paper,false,false,true,medium,medium,medium,tier_1
pmid-35018374,35018374,2022,pi-backlog,HPMI,Melanie Ott,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",cached_normalized,pmc_xml,sars_cov_2,A549_cells;Calu-3_cells;HEK293T_cells;Vero_E6_cells;human_lung_tissue;mice,proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;imaging;genetic_perturbation,,,GitHub,github.com/GoldfarbLab/H522_paper_figures;github.com/mariuswalter/SIRT5_paper,false,false,true,medium,medium,medium,tier_1
pmid-34937051,34937051,2022,current-program,SCRIPT,Richard Wunderink,Local and systemic responses to SARS-CoV-2 infection in children and adults.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, viral, sars-cov-2, sars",cached_normalized,pmc_xml,sars_cov_2,PBMCs;macrophages;airway_epithelium;mice;human_patients,transcriptomics;single_cell;imaging;proteogenomics,,,GitHub,github.com/julianeweller/mg2sc,false,false,true,medium,medium,medium,tier_1
pmid-34731594,34731594,2022,current-program,,,Age-related Differences in the Nasal Mucosal Immune Response to SARS-CoV-2.,"viral context plus mechanism-rich title/abstract: influenza, coronavirus, sars-cov-2, sars, rsv, virus",cached_normalized,pmc_xml,sars_cov_2;rsv;coronavirus_general,macrophages;airway_epithelium;human_patients,transcriptomics;single_cell;network_analysis,,,GitHub,github.com/NUPulmonary/2021_Koch,false,false,true,medium,medium,medium,tier_1
pmid-34171302,34171302,2021,hpmi,HPMI,,"An ancient viral epidemic involving host coronavirus interacting genes more than 20,000 years ago in East Asia.",explicit cross-virus/shared-host full-text language: multiple viruses,cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,human_patients,proteomics;protein_interaction_mapping;network_analysis;genetic_perturbation,,,GitHub,github.com/DavidPierreEnard/Gene_Set_Enrichment_Pipeline;github.com/evotools/hapbin;github.com/szpiech/selscan,false,false,true,medium,medium,medium,tier_1
pmid-40579228,40579228,2025,hpmi,HPMI,,Inference of differential kinase interaction networks with KINference.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, sars-cov-2, sars, pathway",cached_normalized,pmc_xml,sars_cov_2,Calu-3_cells,phosphoproteomics;network_analysis,,,GitHub,github.com/bionetslab/KINference;github.com/bionetslab/KINference-Evaluation-Scripts,false,false,true,medium,low,medium,tier_1
pmid-38168164,38168164,2023,current-program,,,Altered RSV Epidemiology and Genetic Diversity Following the COVID-19 Pandemic.,explicit cross-virus/shared-host full-text language: pan-viral,cached_normalized,pmc_xml,sars_cov_2;rsv,human_patients,network_analysis,,,GitHub,github.com/erg6437/RSV-Molecular-Epidemiology;github.com/gwcbi/haphpipe,false,false,true,medium,low,medium,tier_1
pmid-35325204,35325204,2022,current-program,,,Selection Analysis Identifies Clusters of Unusual Mutational Changes in Omicron Lineage BA.1 That Likely Impact Spike Function.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, sars-cov-2, sars, interaction",cached_normalized,pmc_xml,sars_cov_2,bat_cells_or_hosts;human_patients,network_analysis,,,GitHub,github.com/veg/omicron-selection;github.com/veg/tn93,false,false,true,medium,low,medium,tier_1
pmid-35186917,35186917,2022,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Profiling Selective Packaging of Host RNA and Viral RNA Modification in SARS-CoV-2 Viral Preparations.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",cached_normalized,pmc_xml,sars_cov_2,HEK293T_cells;Vero_E6_cells;human_patients,transcriptomics,,,GitHub,github.com/BioInfoTools/BBMap,false,false,true,medium,low,medium,tier_1
pmid-34981069,34981069,2021,current-program,,,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, sars-cov-2, sars",cached_normalized,pmc_xml,sars_cov_2,,,,,GitHub,github.com/COG-UK/Delta-analysis;github.com/ViralVerity/beastgenpy;github.com/cov-lineages/scorpio;github.com/owid/covid-19-data/blob/master/public/data/owid-covid-data.csv,false,false,true,medium,low,medium,tier_1
pmid-34981043,34981043,2021,current-program,,,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, sars-cov-2, sars",cached_normalized,pmc_xml,sars_cov_2,,,,,GitHub,github.com/COG-UK/Delta-analysis;github.com/ViralVerity/beastgenpy;github.com/cov-lineages/scorpio;github.com/owid/covid-19-data/blob/master/public/data/owid-covid-data.csv;github.com/sumalibajaj/Delta-Statistical-analysis-share,false,false,true,medium,low,medium,tier_1
pmid-33429418,33429418,2021,current-program,CViSB,Donald S Grant;Richard Wunderink,Circuits between infected macrophages and T cells in SARS-CoV-2 pneumonia.,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, coronavirus",cached_normalized,pmc_xml,sars_cov_2;sars_cov_1;coronavirus_general,macrophages;human_lung_tissue;mice;human_patients,transcriptomics;single_cell;network_analysis;imaging,,,GitHub,github.com/LungCellAtlas/FastCAR;github.com/NUPulmonary/2020_Grant;github.com/NUPulmonary/utils/blob/master/R/k_means_Figure.R,false,false,true,medium,low,medium,tier_1
pmid-34556855,34556855,2021,hpmi,HPMI,,Restriction factor compendium for influenza A virus reveals a mechanism for evasion of autophagy.,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, influenza, interaction, proteomics, transcriptomics, screen",cached_normalized,pmc_xml,influenza_a,A549_cells;HEK293T_cells;macrophages;human_lung_tissue;airway_epithelium;mice;human_patients,AP-MS_interactome;proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,,,NDEx,ndexbio.org/#/network/275bd84e-3d18-11e8-a935-0ac135e8bacf,false,false,false,medium,high,medium,tier_1
pmid-34031651,34031651,2021,hpmi,HPMI,,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.","viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,HEK293T_cells;Vero_E6_cells;mice;bat_cells_or_hosts,AP-MS_interactome;proximity_labeling;proteomics;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,,,GitHub,github.com/kroganlab/mist,false,false,true,medium,high,medium,tier_1
pmid-34013269,34013269,2021,hpmi,HPMI,,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.","viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,HEK293T_cells;Vero_E6_cells;mice;bat_cells_or_hosts,AP-MS_interactome;proximity_labeling;proteomics;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,,,GitHub,github.com/kroganlab/mist,false,false,true,medium,high,medium,tier_1
pmid-42258748,42258748,2026,current-program,CViSB,Donald S Grant;Richard Wunderink,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,"viral context plus mechanism-rich title/abstract: influenza, sars-cov-2, sars, covid-19, viral, influenza",cached_normalized,pmc_xml,sars_cov_2,PBMCs;macrophages;human_lung_tissue;mice;human_patients,proteomics;transcriptomics;single_cell;network_analysis;imaging,ArrayExpress;PRIDE,PRIDE:PXD051341;PRIDE:PXD051948;PRIDE:PXD051982;ArrayExpress:E-MTAB-10026,GitHub,github.com/MarieOestreich/hCoCena;github.com/schillerlab/2025_AnnaSemenova_Autoantibody,true,true,true,high,medium,low,tier_1
pmid-41646792,41646792,2026,current-program,SCRIPT,Richard Wunderink,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,"viral context plus mechanism-rich title/abstract: influenza, sars-cov-2, sars, covid-19, viral, influenza",cached_normalized,pmc_xml,sars_cov_2,PBMCs;macrophages;human_lung_tissue;mice;human_patients,proteomics;transcriptomics;single_cell;network_analysis;imaging,ArrayExpress;PRIDE,PRIDE:PXD051341;PRIDE:PXD051948;PRIDE:PXD051982;ArrayExpress:E-MTAB-10026,GitHub,github.com/MarieOestreich/hCoCena;github.com/schillerlab/2025_AnnaSemenova_Autoantibody,true,true,true,high,medium,low,tier_1
pmid-35337019,35337019,2022,hpmi,HPMI,,A BioID-Derived Proximity Interactome for SARS-CoV-2 Proteins.,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,A549_cells;human_lung_tissue;mice;human_patients,proximity_labeling;proteomics;protein_interaction_mapping;network_analysis;genetic_perturbation,MassIVE;PRIDE,PRIDE:PXD029207;MassIVE:MSV000088245,NDEx,ndexbio.org/viewer/networks/275bd84e-3d18-11e8-a935-0ac135e8bacf,true,true,false,high,medium,low,tier_1
pmid-34986351,34986351,2022,current-program,CViSB,Robert Garry,Ebola virus delta peptide is an enterotoxin.,"viral context plus mechanism-rich title/abstract: ebola, virus, ebola, pathway, pathways",cached_normalized,pdf_grobid,ebola,Vero_E6_cells;organoids;mice;rhesus_macaques;human_patients,proteomics;transcriptomics;imaging,GEO,GEO:GSE189787,,,true,true,false,high,medium,medium,tier_1
pmid-34225493,34225493,2021,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Expression of the Ebola Virus VP24 Protein Compromises the Integrity of the Nuclear Envelope and Induces a Laminopathy-Like Cellular Phenotype.,"viral context plus mechanism-rich title/abstract: ebola, virus, viral, ebola, pathway, pathways",cached_normalized,pmc_xml,ebola,A549_cells;Huh7_cells;Vero_E6_cells;macrophages,proteomics;transcriptomics;protein_interaction_mapping,GEO,GEO:GSE155936,,,true,true,false,high,medium,low,tier_1
pmid-33654293,33654293,2021,current-program,,,Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, viral, sars-cov-2, sars",cached_normalized,pmc_xml,sars_cov_2,PBMCs;macrophages;human_lung_tissue;airway_epithelium;mice;human_patients,transcriptomics;single_cell;network_analysis,GEO;Single_Cell_Portal,GEO:GSE109743;Single_Cell_Portal:SCP1257,GitHub,github.com/lilab-bcb/harmony-pytorch;github.com/theislab/diffxpy;github.com/timoast/signac,true,true,true,high,medium,low,tier_1
pmid-32720752,32720752,2020,current-program,,,Impaired phagocytic function in CX3CR1(+) tissue-resident skeletal muscle macrophages prevents muscle recovery after influenza A virus-induced pneumonia in old mice.,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, pathway, pathways, macrophage",cached_normalized,pmc_xml,influenza_a,macrophages;mice;human_patients,transcriptomics;CRISPR_screen;imaging,GEO,GEO:GSE142580,,,true,true,false,high,medium,low,tier_1
pmid-32645325,32645325,2020,hpmi,HPMI,,The Global Phosphorylation Landscape of SARS-CoV-2 Infection.,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, coronavirus, sars-cov-2, sars, covid-19, pathway",cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,A549_cells;Calu-3_cells;HEK293T_cells;Vero_E6_cells;NHBE_cells;human_lung_tissue;mice;bat_cells_or_hosts;human_patients,proteomics;phosphoproteomics;transcriptomics;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,GEO;PRIDE,GEO:GSE147507;PRIDE:PXD019113,,,true,true,false,high,medium,low,tier_1
pmid-42134328,42134328,2026,hpmi,HPMI,,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,"explicit cross-virus/shared-host full-text language: cross virus, shared host, conserved host",cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,HEK293T_cells;Vero_E6_cells;human_lung_tissue;organoids;mice;bat_cells_or_hosts,AP-MS_interactome;proteomics;transcriptomics;protein_interaction_mapping;network_analysis;imaging,GEO;PRIDE,GEO:GSE302357;PRIDE:PXD065873,GitHub,github.com/kroganlab/mist,true,true,true,high,high,low,tier_1
pmid-42013838,42013838,2026,pi-backlog,HPMI,Andrej Sali,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, host factor, host factors",cached_normalized,pmc_xml,hiv,HEK293T_cells;primary_CD4_T_cells;PBMCs;macrophages;mice,proteomics;transcriptomics;single_cell;CRISPR_screen;network_analysis;imaging;genetic_perturbation,GEO;PRIDE,GEO:GSE318876;PRIDE:PXD071892,Figshare,figshare.com/articles/dataset/Tabula_Sapiens_release_1_0/14267219,true,true,false,high,high,low,tier_1
