paper_id,title,pmid,doi,center,year,paper_status,abstract_length,dataset_scan_status,resource_scan_status
pmid-42518274,The CRAC channel inhibitor Auxora Reprograms Pathogenic Alveolar Macrophage-T Cell Circuits in Viral Pneumonia.,42518274,10.1172/JCI209675,,2026,metadata_ingested,0,pending,pending
pmid-42496611,Pre-exposure to phosphate-buffer saline (PBS) renders some Pseudomonas aeruginosa strains susceptible to triclosan on solid medium.,42496611,10.1093/femsle/fnag086,,2026,metadata_ingested,1049,pending,pending
pmid-42429782,Predictive accuracy of population meropenem models in critically ill pneumonia patients.,42429782,10.1128/aac.00458-26,,2026,metadata_ingested,1798,pending,pending
pmid-42393236,Longitudinal analysis of drift in the circulating human antibody repertoire over four years.,42393236,10.1038/s41598-026-60159-9,,2026,metadata_ingested,1511,pending,pending
pmid-42258748,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,42258748,10.1172/jci.insight.203056,,2026,metadata_ingested,1210,pending,pending
pmid-42182519,Pathogen-specific host responses define distinct pneumonia endotypes in the human lung.,42182519,10.64898/2026.05.12.724509,,2026,metadata_ingested,1515,pending,pending
pmid-42179346,"A multiplexed, systems-based approach for prediction of antibody neutralization breadth for soluble human receptors.",42179346,10.1093/jimmun/vkag106,,2026,metadata_ingested,1343,pending,pending
pmid-42141015,Umbilical cord blood cell transcriptional and methylation signatures at birth are associated with BPD development and chorioamnionitis: a pilot study.,42141015,10.1038/s41598-026-53235-7,,2026,metadata_ingested,1463,pending,pending
pmid-41909118,Development of a Pilot Machine Learning Model to Predict Successful Short-Term Treatment Success in Critically Ill Patients With Community-Acquired Pneumonia.,41909118,10.1016/j.chstcc.2025.100228,,2026,metadata_ingested,0,pending,pending
pmid-41872475,Author Correction: Systematic data capture reduces the need for source data verification: exploratory analysis from a phase 2 multicenter randomized controlled platform trial.,41872475,10.1038/s43856-026-01414-y,,2026,metadata_ingested,0,pending,pending
pmid-41837898,Comparing clinical assessments of pneumonia to bronchoalveolar lavage results in critically ill patients with suspected pneumonia.,41837898,10.1093/annalsats/aaoag050,,2026,metadata_ingested,2435,pending,pending
pmid-41807181,Single-cell RNAseq identifies persistent epithelial and immune dysfunction in PwCF by mitigating inter-individual sampling heterogeneity.,41807181,10.1016/j.jcf.2026.01.009,,2026,metadata_ingested,1812,pending,pending
pmid-41805254,Complete genome sequences of KPC-producing Klebsiella pneumoniae isolates pre- and post-development of meropenem/vaborbactam resistance.,41805254,10.1128/mra.01447-25,,2026,metadata_ingested,457,pending,pending
pmid-41794121,Evaluating the Association Between Patient Priorities and ICU Care Delivery in Adults Receiving Mechanical Ventilation.,41794121,10.1016/j.chest.2026.01.028,,2026,metadata_ingested,2086,pending,pending
pmid-41794027,Dynamics of natural selection preceding human viral epidemics and pandemics.,41794027,10.1016/j.cell.2026.02.006,,2026,metadata_ingested,1037,pending,pending
pmid-41763193,Microbiologic Diagnosis of Respiratory Infections in Critically Ill Immunocompromised Patients.,41763193,10.1055/a-2808-5317,,2026,metadata_ingested,1167,pending,pending
pmid-41711574,Aminoglycosides enhance meropenem/vaborbactam activity against KPC-producing Klebsiella pneumoniae in the hollow fiber infection model.,41711574,10.1128/aac.01365-25,,2026,metadata_ingested,2033,pending,pending
pmid-41663757,Human CRAMP1 specifically promotes the expression of histone H1 genes.,41663757,10.1038/s44319-026-00704-9,,2026,metadata_ingested,1199,pending,pending
pmid-41646792,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,41646792,10.64898/2026.01.12.26343938,,2026,metadata_ingested,1210,pending,pending
pmid-41646725,Developing and externally validating machine learning models to forecast short-term risk of ventilator-associated pneumonia.,41646725,10.64898/2026.01.28.26344858,,2026,metadata_ingested,2504,pending,pending
pmid-41646655,Synonymous substitution rate slowdown preceding the emergence of SARS-CoV-2 variants and during persistent infections.,41646655,10.64898/2026.01.26.26344861,,2026,metadata_ingested,1715,pending,pending
pmid-41603707,Complete genome sequences of Staphylococcus aureus isolates with a novel sequence type from a patient with hospital-acquired pneumonia.,41603707,10.1128/mra.01282-25,,2026,metadata_ingested,346,pending,pending
