paper_id,pmid,year,title,abstract_excerpt,matched_pis,matched_centers,viruses,pathogens,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,final_corpus_decision,final_corpus_reason,review_status,notes
pmid-42573758,42573758,2026,Prognostic value of risk factors for ischaemic and major bleeding events in chronic coronary syndrome: a SWEDEHEART registry study.,"AIM: In patients with chronic coronary syndrome, risk factors for ischaemic events and bleeding tend to overlap. However, the combined effects of these factors have scarcely been studied in contemporary real-world settings. METHODS: All patients in Sweden undergoing elective P...",Kristian Andersen,CViSB,,,network_modeling,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42562625,42562625,2026,Everolimus for the treatment of neuropsychological deficits in tuberous sclerosis complex: findings from the TRON multicentre randomised controlled trial.,BACKGROUND: Mammalian target of rapamycin (mTOR) inhibitors are effective treatments for tumours and epilepsy in tuberous sclerosis complex (TSC). This study aimed to determine the effects of the mTOR inhibitor everolimus and a placebo on neuropsychological functioning in TSC....,Ryan McNamara,CViSB,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42542480,42542480,2026,"Synthesis of Ub-ACA, a Fluorogenic DUB Substrate via ACPL Method.",This chapter details the step-by-step synthesis of ubiquitin-7-amino-4-coumarinyl-acetic acid (Ub-ACA) using the activated cysteine-directed protein ligation (ACPL) technique. Ub-ACA is a fluorogenic substrate for deubiquitinases (DUBs). It can be readily synthesized via ACPL...,Sumit Chanda,SYBIL,influenza,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42538903,42538903,2026,A de novo designed enzyme for photo-proximity labeling of E3 ligase neighborhoods in live cells.,"Photocatalytic proximity labeling proteomics (photo-PLP) has emerged as a powerful technology for rapid capture of protein interactomes in situ. Typically, photo-PLP relies on chemical conjugation of the photocatalyst to the target of interest which creates practical challenge...",Nevan Krogan,HPMI,,,proteomics;epigenomics;network_modeling,primary_research,candidate,relevant viral/host/pathway terms matched: interactome,high,"recent paper with relevant terms: interactome, proteomics",exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42529183,42529183,2026,New-Onset Heart Failure in Hemodialysis Patients: Association With Access Location and Access Flow in a Nationwide Cohort From Sweden.,"RATIONALE & OBJECTIVE: There is increasing evidence that arteriovenous fistulas (AVFs) might alter cardiac function. Upper arm AVFs are associated with higher access flow, and their use is increasing. It has been hypothesized that the creation of upper arm AVFs would lead to a...",Melanie Ott,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42521088,42521088,2026,Electronic operational classification of hospital-onset bacteremia and fungemia in Epic Cosmos: A retrospective observational study.,"BACKGROUND: Hospital-onset bacteremia and fungemia (HOB) has been proposed as an electronic surveillance outcome, but deidentified electronic health record data require transparent organism handling when chart review is unavailable. METHODS: We analyzed deidentified HOB record...",Kristian Andersen,CViSB,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42508404,42508404,2026,Advancing cancer detection and treatment using longitudinal routine clinical data.,"Cancer management remains fragmented across its continuum, from late-stage diagnosis and salvage therapies to non-personalized surveillance. Here, we present Oncoformer, a unified multimodal transformer model trained on the China Oncology Multimodal Prediction and Surveillance...",Trey Ideker,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42496972,42496972,2026,Glucagon-Like Peptide-1 Receptor Agonists and Fragility Fracture Risk in Type 2 Diabetes.,"IMPORTANCE: Obesity, type 2 diabetes (T2D), and weight loss are associated with increased fragility fracture risk. Glucagon-like peptide-1 receptor agonists (GLP-1 RAs) are widely prescribed, yet their effects on skeletal outcomes remain uncertain. OBJECTIVE: To evaluate the a...",Michael Yeaman,UCLA-Persistent-BSI,,,network_modeling,data_or_analysis,high,explicit cross-virus/shared-host language: comparative,low,no strong backlog-priority keywords matched,include,explicit cross-virus or shared-host framing in title/abstract,pending,
pmid-42492562,42492562,2026,"Oral step-down, optimal drug, and total duration of antibiotic treatment in African children hospitalised with severe community-acquired pneumonia (PediCAP): a factorial randomised controlled trial.",BACKGROUND: WHO recommends 5 days of intravenous antibiotics for children hospitalised with severe community-acquired pneumonia (CAP). We aimed to investigate the safety of a step-down to different oral antibiotics and the shortest effective duration. METHODS: PediCAP was an o...,Sumit Chanda,SYBIL,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42489928,42489928,2026,Towards implementation of precision medicine biomarkers in early detection and prognostication of prostate cancer.,"Prostate cancer is the second-highest cause of cancer-related incidence and the fifth-highest cause of cancer mortality in males. Prostate cancer is a heterogeneous disease with a wide spectrum of clinical behaviour, ranging from indolent to highly aggressive. Molecular approa...",Andrej Sali,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
