dataset_id,source_paper_id,repository,accession,title,assay_type,host_system,pathogen,reuse_value,status
pmid-41646792-arrayexpress-e-mtab-10026,pmid-41646792,ArrayExpress,E-MTAB-10026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies. [ArrayExpress E-MTAB-10026; proteomics],proteomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-42258748-arrayexpress-e-mtab-10026,pmid-42258748,ArrayExpress,E-MTAB-10026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies. [ArrayExpress E-MTAB-10026; proteomics],proteomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-33730579-arrayexpress-e-mtab-8646,pmid-33730579,ArrayExpress,E-MTAB-8646,A genome-wide CRISPR screen identifies UFMylation and TRAMP-like complexes as host factors required for hepatitis A virus infection. [ArrayExpress E-MTAB-8646; single_cell],single_cell,Huh7_cells;organoids;mice,hepatitis_a,high,candidate
pmid-33333024-arrayexpress-e-mtab-9638,pmid-33333024,ArrayExpress,E-MTAB-9638,Genetic Screens Identify Host Factors for SARS-CoV-2 and Common Cold Coronaviruses. [ArrayExpress E-MTAB-9638; proteomics],proteomics,A549_cells;Calu-3_cells;Huh7_cells,sars_cov_2;coronavirus_general,high,candidate
pmid-33979618-bioproject-prjna684421,pmid-33979618,BioProject,PRJNA684421,Efficient generation of isogenic primary human myeloid cells using CRISPR-Cas9 ribonucleoproteins. [BioProject PRJNA684421; transcriptomics],transcriptomics,HEK293T_cells;PBMCs;macrophages,hiv,high,candidate
pmid-33654293-geo-gse109743,pmid-33654293,GEO,GSE109743,Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics. [GEO GSE109743; transcriptomics],transcriptomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-37901225-geo-gse110362,pmid-37901225,GEO,GSE110362,Hypercapnia increases ACE2 expression and pseudo-SARS-CoV-2 entry in bronchial epithelial cells by augmenting cellular cholesterol. [GEO GSE110362; transcriptomics],transcriptomics,Vero_E6_cells;macrophages;human_lung_tissue,influenza_a;sars_cov_2;coronavirus_general,high,candidate
pmid-30550790-geo-gse110511,pmid-30550790,GEO,GSE110511,Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis. [GEO GSE110511; AP-MS_interactome],AP-MS_interactome,A549_cells;HEK293T_cells;Huh7_cells,dengue;zika;flavivirus_general,high,candidate
pmid-30550790-geo-gse110512,pmid-30550790,GEO,GSE110512,Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis. [GEO GSE110512; AP-MS_interactome],AP-MS_interactome,A549_cells;HEK293T_cells;Huh7_cells,dengue;zika;flavivirus_general,high,candidate
pmid-30550790-geo-gse118686,pmid-30550790,GEO,GSE118686,Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis. [GEO GSE118686; AP-MS_interactome],AP-MS_interactome,A549_cells;HEK293T_cells;Huh7_cells,dengue;zika;flavivirus_general,high,candidate
pmid-31375585-geo-gse122031,pmid-31375585,GEO,GSE122031,Innate Immune Response to Influenza Virus at Single-Cell Resolution in Human Epithelial Cells Revealed Paracrine Induction of Interferon Lambda 1. [GEO GSE122031; single_cell],single_cell,A549_cells;HEK293T_cells;NHBE_cells,influenza_a,high,candidate
pmid-32720752-geo-gse142580,pmid-32720752,GEO,GSE142580,Impaired phagocytic function in CX3CR1(+) tissue-resident skeletal muscle macrophages prevents muscle recovery after influenza A virus-induced pneumonia in old mice. [GEO GSE142580; transcriptomics],transcriptomics,macrophages;mice;human_patients,influenza_a,high,candidate
pmid-32084337-geo-gse144142,pmid-32084337,GEO,GSE144142,A Quantitative Genetic Interaction Map of HIV Infection. [GEO GSE144142; proteomics],proteomics,A549_cells;HEK293T_cells;human_patients,hiv,high,candidate
pmid-32645325-geo-gse147507,pmid-32645325,GEO,GSE147507,The Global Phosphorylation Landscape of SARS-CoV-2 Infection. [GEO GSE147507; proteomics],proteomics,A549_cells;Calu-3_cells;HEK293T_cells,sars_cov_2;coronavirus_general,high,candidate
pmid-34225493-geo-gse155936,pmid-34225493,GEO,GSE155936,Expression of the Ebola Virus VP24 Protein Compromises the Integrity of the Nuclear Envelope and Induces a Laminopathy-Like Cellular Phenotype. [GEO GSE155936; proteomics],proteomics,A549_cells;Huh7_cells;Vero_E6_cells,ebola,high,candidate
pmid-38375062-geo-gse166530,pmid-38375062,GEO,GSE166530,Upper Airway Epithelial Tissue Transcriptome Analysis Reveals Immune Signatures Associated with COVID-19 Severity in Ghanaians. [GEO GSE166530; dataset],,airway_epithelium,sars_cov_2;sars_cov_1;coronavirus_general,medium,candidate
pmid-34986351-geo-gse189787,pmid-34986351,GEO,GSE189787,Ebola virus delta peptide is an enterotoxin. [GEO GSE189787; proteomics],proteomics,Vero_E6_cells;organoids;mice,ebola,high,candidate
pmid-42134328-geo-gse302357,pmid-42134328,GEO,GSE302357,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential. [GEO GSE302357; AP-MS_interactome],AP-MS_interactome,HEK293T_cells;Vero_E6_cells;human_lung_tissue,sars_cov_2;coronavirus_general,high,candidate
pmid-42013838-geo-gse318876,pmid-42013838,GEO,GSE318876,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells. [GEO GSE318876; proteomics],proteomics,HEK293T_cells;primary_CD4_T_cells;PBMCs,hiv,high,candidate
pmid-36197970-geo-gse40012,pmid-36197970,GEO,GSE40012,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans. [GEO GSE40012; transcriptomics]",transcriptomics,A549_cells;HEK293T_cells;PBMCs,influenza_a,high,candidate
pmid-36197970-geo-gse89008,pmid-36197970,GEO,GSE89008,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans. [GEO GSE89008; transcriptomics]",transcriptomics,A549_cells;HEK293T_cells;PBMCs,influenza_a,high,candidate
pmid-36197970-geo-gse97672,pmid-36197970,GEO,GSE97672,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans. [GEO GSE97672; transcriptomics]",transcriptomics,A549_cells;HEK293T_cells;PBMCs,influenza_a,high,candidate
pmid-36197970-geo-gse98527,pmid-36197970,GEO,GSE98527,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans. [GEO GSE98527; transcriptomics]",transcriptomics,A549_cells;HEK293T_cells;PBMCs,influenza_a,high,candidate
pmid-35337019-massive-msv000088245,pmid-35337019,MassIVE,MSV000088245,A BioID-Derived Proximity Interactome for SARS-CoV-2 Proteins. [MassIVE MSV000088245; proximity_labeling],proximity_labeling,A549_cells;human_lung_tissue;mice,sars_cov_2;coronavirus_general,high,candidate
pmid-32415096-pride-pxd000418,pmid-32415096,PRIDE,PXD000418,mRNA display with library of even-distribution reveals cellular interactors of influenza virus NS1. [PRIDE PXD000418; AP-MS_interactome],AP-MS_interactome,A549_cells;HEK293T_cells;PBMCs,influenza_a,high,candidate
pmid-31253590-pride-pxd009012,pmid-31253590,PRIDE,PXD009012,ARIH2 Is a Vif-Dependent Regulator of CUL5-Mediated APOBEC3G Degradation in HIV Infection. [PRIDE PXD009012; AP-MS_interactome],AP-MS_interactome,HEK293T_cells;primary_CD4_T_cells;macrophages,hiv,high,candidate
