source_collection,paper_id,pmid,year,center,title,pi_candidates,viruses,pathogens,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,abstract_excerpt
hpmi,pmid-42134328,42134328,2026,HPMI,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,,sars-cov-2;sars-cov;coronavirus;influenza,,protein_interaction_mapping;proteomics,primary_research,high,explicit cross-virus/shared-host language: comparative,high,"recent HPMI paper with relevant terms: virus, sars, cov","Coronaviruses, including severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), can cause severe disease in humans, whereas reservoir hosts such as horseshoe bats remain asymptomatic. To investigate how host-specific protein-protein interactions (PPIs) influence infecti..."
hpmi,pmid-41256720,41256720,2025,HPMI,Genome-wide screen in Mycobacterium tuberculosis infected macrophages reveals innate regulation of antibacterial mediators by IRF2.,,influenza,mycobacterium_tuberculosis,crispr_screen,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: crispr, tuberculosis, mycobacterium",high,"recent HPMI paper with relevant terms: tuberculosis, mycobacterium","Controlling Mycobacterium tuberculosis (Mtb) infection requires a precisely balanced host inflammatory response. Too little inflammation leads to uncontrolled bacterial growth but exacerbated inflammation, activated by mediators such as TNF and type I IFN, inhibits effective a..."
hpmi,pmid-39969084,39969084,2025,HPMI,Torsional twist of the SARS-CoV and SARS-CoV-2 SUD-N and SUD-M domains.,,sars-cov-2;sars-cov;coronavirus,,structural_biology,primary_research,high,explicit cross-virus/shared-host language: comparative,high,"recent HPMI paper with relevant terms: viral, sars, cov","Coronavirus non-structural protein 3 (nsp3) forms hexameric crowns of pores in the double membrane vesicle that houses the replication-transcription complex. Nsp3 in SARS-like viruses has three unique domains absent in other coronavirus nsp3 proteins. Two of these, SUD-N (Macr..."
hpmi,pmid-37758692,37758692,2023,HPMI,Proteomic and genetic analyses of influenza A viruses identify pan-viral host targets.,,sars-cov-2;sars-cov;coronavirus;influenza,,protein_interaction_mapping;proteomics,data_or_analysis,high,explicit cross-virus/shared-host language: pan-viral,medium,"older HPMI paper with relevant terms: virus, viral, sars, cov, influenza",Influenza A Virus (IAV) is a recurring respiratory virus with limited availability of antiviral therapies. Understanding host proteins essential for IAV infection can identify targets for alternative host-directed therapies (HDTs). Using affinity purification-mass spectrometry...
pi-backlog,pmid-41917196,41917196,2026,,Programmable kinetic barcoding for multiplexed RNA detection with Cas13a.,,sars-cov-2;sars-cov,,crispr_screen,methods,high,explicit cross-virus/shared-host language: multiple viruses,high,"recent paper with relevant terms: viral, crispr",Rapid identification of viral infections and specific variants in patient samples requires a simple and multiplexed RNA detection method that does not rely on DNA sequencing. Although recent direct detection assays based on CRISPR-Cas13a offer rapid RNA detection by avoiding r...
hpmi,pmid-41688792,41688792,2026,HPMI,Membrane-associated effluxosomes coordinate multi-metal resistance in Mycobacterium tuberculosis.,,influenza,mycobacterium_tuberculosis,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: interaction, tuberculosis, mycobacterium",high,"recent HPMI paper with relevant terms: tuberculosis, mycobacterium","Bacterial pathogens must withstand metal-induced stress during infection, yet the mechanisms by which they sense and respond to toxic metal ions remain incompletely understood. Here, we uncover a previously unrecognized mechanism in Mycobacterium tuberculosis, the causative ag..."
hpmi,pmid-41034576,41034576,2025,HPMI,A miniature CRISPR-Cas10 enzyme confers immunity by inhibitory signalling.,,influenza,,structural_biology,primary_research,candidate,"relevant host-pathogen/pathway terms matched: virus, viral, crispr",high,"recent HPMI paper with relevant terms: virus, viral","Microbial and viral co-evolution has created immunity mechanisms involving oligonucleotide signalling that share mechanistic features with human antiviral systems1. In these pathways, including cyclic oligonucleotide-based antiphage signalling systems (CBASSs) and type III CRI..."
pi-backlog,pmid-40766693,40766693,2025,,Coronavirus protein interaction mapping in bat and human cells identifies molecular and genetic switches for immune evasion and replication.,,sars-cov-2;sars-cov;coronavirus;influenza,,proteomics,primary_research,high,explicit cross-virus/shared-host language: comparative,high,"recent paper with relevant terms: virus, viral, host","Coronaviruses, including SARS-CoV-2, can cause severe disease in humans, whereas reservoir hosts like Rhinolophus bats remain asymptomatic. To investigate how host-specific protein-protein interactions (PPIs) influence infection, we generated comparative PPI maps for SARS-CoV-..."
hpmi,pmid-40579228,40579228,2025,HPMI,Inference of differential kinase interaction networks with KINference.,,sars-cov-2;sars-cov,,proteomics,primary_research,candidate,"relevant host-pathogen/pathway terms matched: virus, interaction, pathway",high,"recent HPMI paper with relevant terms: virus, sars, cov",MOTIVATION: Differential kinase interaction networks (DKINs) are networks containing kinase-substrate links that are differentially active between two conditions. Existing methods are either able to predict condition-agnostic kinase-substrate links or condition-specific differ...
hpmi,pmid-40402573,40402573,2025,HPMI,Myeloid cell genome-wide screen identifies variants associated with Mycobacterium tuberculosis-induced cytokine transcriptional responses.,,,mycobacterium_tuberculosis,transcriptomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: pathway, tuberculosis, mycobacterium",high,"recent HPMI paper with relevant terms: tuberculosis, mycobacterium","Immune and clinical outcomes to Mycobacterium tuberculosis (Mtb) infection vary greatly between individuals, yet the underlying genetic and cellular mechanisms driving this heterogeneity remain poorly understood. We performed a cellular genome-wide association study to identif..."
hpmi,pmid-35017099,35017099,2022,HPMI,Comparative Analysis of T-Cell Spatial Proteomics and the Influence of HIV Expression.,,influenza;hiv,,proteomics,methods,high,explicit cross-virus/shared-host language: comparative,medium,older HPMI paper with relevant terms: viral,"As systems biology approaches to virology have become more tractable, highly studied viruses such as HIV can now be analyzed in new unbiased ways, including spatial proteomics. We employed here a differential centrifugation protocol to fractionate Jurkat T cells for proteomic..."
hpmi,pmid-33060197,33060197,2020,HPMI,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms.,,sars-cov-2;sars-cov;coronavirus,,protein_interaction_mapping;structural_biology,primary_research,high,"explicit cross-virus/shared-host language: comparative, pan-viral",medium,"older HPMI paper with relevant terms: viral, sars, cov","The COVID-19 pandemic, caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), is a grave threat to public health and the global economy. SARS-CoV-2 is closely related to the more lethal but less transmissible coronaviruses SARS-CoV-1 and Middle East respirator..."
hpmi,pmid-30550790,30550790,2018,HPMI,Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis.,,dengue;zika,,protein_interaction_mapping;proteomics,primary_research,high,explicit cross-virus/shared-host language: comparative,medium,"older HPMI paper with relevant terms: virus, dengue, zika","Mosquito-borne flaviviruses, including dengue virus (DENV) and Zika virus (ZIKV), are a growing public health concern. Systems-level analysis of how flaviviruses hijack cellular processes through virus-host protein-protein interactions (PPIs) provides information about their r..."
pi-backlog,pmid-42409264,42409264,2026,,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,,coronavirus;influenza,,,primary_research,high,explicit cross-virus/shared-host language: broad-spectrum,high,"recent paper with relevant terms: viral, host",Developing safe and effective treatments against emerging RNA viruses is an important goal in pandemic preparedness efforts. 4'-fluorouridine (4'-FlU) is a broad-spectrum antiviral that was shown to inhibit viral RNA-dependent RNA polymerases (RdRps). Given its notable range o...
pi-backlog,pmid-42244653,42244653,2026,,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,,sars-cov-2;sars-cov;coronavirus;influenza,,,primary_research,high,explicit cross-virus/shared-host language: broad-spectrum,high,"recent paper with relevant terms: viral, host",Developing safe and effective treatments against emerging RNA viruses is an important goal in pandemic preparedness efforts. 4'-fluorouridine (4'-FlU) is a broad-spectrum antiviral that was shown to inhibit viral RNA-dependent RNA polymerases (RdRps). Given its notable range o...
hpmi,pmid-42149727,42149727,2026,HPMI,Cas9(+) conditionally immortalized neutrophil progenitors as a tool for genome-wide CRISPR screening for neutrophil differentiation and function.,,,,crispr_screen;genome_editing,data_or_analysis,candidate,relevant host-pathogen/pathway terms matched: crispr,high,recent HPMI paper with relevant terms: crispr screen,"Neutrophils are short-lived cells of the innate immune system that play numerous roles in defense against infection, regulation of immune responses, tissue damage and repair, autoimmunity, and other non-communicable diseases. Understanding neutrophil function at a mechanistic..."
pi-backlog,pmid-41757169,41757169,2026,,Early Fc-effector antibody signatures impact COVID-19 disease trajectory.,,sars-cov-2;sars-cov,,proteomics;transcriptomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: infection,high,recent paper with relevant terms: proteomics,"Why do some individuals develop mild COVID-19 while others progress to severe disease remains a central challenge in SARS-CoV-2 immunology. In this study, we leveraged the BACO Cohort - a unique historical cohort of immunologically naïve, hospitalized COVID-19 patients from th..."
