source_collection,paper_id,pmid,doi,year,center,title,pi_candidates,subset_reason,virus_or_pathogen,assay_types,cross_virus_relevance,priority
pi-backlog,pmid-42496972,42496972,10.1001/jamanetworkopen.2026.25141,2026,UCLA-Persistent-BSI,Glucagon-Like Peptide-1 Receptor Agonists and Fragility Fracture Risk in Type 2 Diabetes.,Michael Yeaman,explicit cross-virus or shared-host framing in title/abstract,,network_modeling,high,low
pi-backlog,pmid-42454370,42454370,10.1093/nar/gkag701,2026,SYBIL,A potential RNA-RNA distal interaction competing with a functional pseudoknot in the 3'-untranslated region of SARS-like coronaviruses.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, sars, interaction",sars-cov-2;sars-cov;coronavirus,,candidate,high
pi-backlog,pmid-42409264,42409264,10.1016/j.jbc.2026.113316,2026,SYBIL,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,coronavirus;influenza,,high,high
pi-backlog,pmid-42244653,42244653,10.64898/2026.05.22.727251,2026,SYBIL,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov;coronavirus;influenza,,high,high
pi-backlog,pmid-42200562,42200562,10.1177/15473287261450907,2026,SCRIPT,Simplified Derivation of Stable Early Passage Murine Embryonic and Parthenogenetic Stem Cells.,Alan Hauser,explicit cross-virus or shared-host framing in title/abstract,,,high,low
pi-backlog,pmid-42150007,42150007,10.1021/acs.jmedchem.6c00126,2026,HPMI,Self-Dimerization Induced Proximity Targeting Chimeras (SDIPTAC) Lead to DCAF1 Loss of Function and Inhibition of HIV Replication.,Melanie Ott,"viral context plus mechanism/resource terms: viral, hiv, interaction",hiv,,candidate,high
pi-backlog,pmid-42067193,42067193,10.1016/j.slasd.2026.100311,2026,HPMI,Repurposing drug screen for the identification of helicase inhibitors from viruses of pandemic concern.,Melanie Ott,"viral context plus mechanism/resource terms: virus, viral, sars, screen",sars-cov-2;sars-cov;coronavirus,,candidate,high
pi-backlog,pmid-42013838,42013838,10.1016/j.cell.2026.03.046,2026,HPMI,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,Andrej Sali,"viral context plus mechanism/resource terms: virus, viral, hiv, interaction",hiv,crispr_screen;network_modeling,candidate,high
pi-backlog,pmid-41917196,41917196,10.1038/s41551-026-01642-6,2026,HPMI,Programmable kinetic barcoding for multiplexed RNA detection with Cas13a.,Melanie Ott,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov,crispr_screen,high,high
pi-backlog,pmid-41757169,41757169,10.64898/2026.02.18.26346542,2026,SYBIL,Early Fc-effector antibody signatures impact COVID-19 disease trajectory.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: sars, proteomics",sars-cov-2;sars-cov,proteomics;transcriptomics,candidate,high
