source_collection,paper_id,pmid,doi,year,title,center,pi_candidates,cross_virus_relevance,priority,subset_reason,pmcid,pubmed_url,pmc_url,publisher_url,open_access_status,full_text_source,full_text_status,oa_landing_path,oa_pdf_path,manual_download_needed,manual_download_reason
pi-backlog,pmid-42496972,42496972,10.1001/jamanetworkopen.2026.25141,2026,Glucagon-Like Peptide-1 Receptor Agonists and Fragility Fracture Risk in Type 2 Diabetes.,UCLA-Persistent-BSI,Michael Yeaman,high,low,explicit cross-virus or shared-host framing in title/abstract,PMC13401206,https://pubmed.ncbi.nlm.nih.gov/42496972/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13401206/,https://doi.org/10.1001/jamanetworkopen.2026.25141,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42496972.url,papers/fulltext/inventory/oa/pmid-42496972.pdf,no,
pi-backlog,pmid-42454370,42454370,10.1093/nar/gkag701,2026,A potential RNA-RNA distal interaction competing with a functional pseudoknot in the 3'-untranslated region of SARS-like coronaviruses.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: virus, viral, sars, interaction",PMC13369322,https://pubmed.ncbi.nlm.nih.gov/42454370/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13369322/,https://doi.org/10.1093/nar/gkag701,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42454370.url,papers/fulltext/inventory/oa/pmid-42454370.pdf,no,
pi-backlog,pmid-42409264,42409264,10.1016/j.jbc.2026.113316,2026,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,SYBIL,Sumit Chanda,high,high,explicit cross-virus or shared-host framing in title/abstract,,https://pubmed.ncbi.nlm.nih.gov/42409264/,,https://doi.org/10.1016/j.jbc.2026.113316,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-42409264.url,papers/fulltext/inventory/oa/pmid-42409264.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-42244653,42244653,10.64898/2026.05.22.727251,2026,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,SYBIL,Sumit Chanda,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC13232272,https://pubmed.ncbi.nlm.nih.gov/42244653/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13232272/,https://doi.org/10.64898/2026.05.22.727251,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42244653.url,papers/fulltext/inventory/oa/pmid-42244653.pdf,no,
pi-backlog,pmid-42200562,42200562,10.1177/15473287261450907,2026,Simplified Derivation of Stable Early Passage Murine Embryonic and Parthenogenetic Stem Cells.,SCRIPT,Alan Hauser,high,low,explicit cross-virus or shared-host framing in title/abstract,,https://pubmed.ncbi.nlm.nih.gov/42200562/,,https://doi.org/10.1177/15473287261450907,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-42200562.url,papers/fulltext/inventory/oa/pmid-42200562.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-42150007,42150007,10.1021/acs.jmedchem.6c00126,2026,Self-Dimerization Induced Proximity Targeting Chimeras (SDIPTAC) Lead to DCAF1 Loss of Function and Inhibition of HIV Replication.,HPMI,Melanie Ott,candidate,high,"viral context plus mechanism/resource terms: viral, hiv, interaction",PMC13224092,https://pubmed.ncbi.nlm.nih.gov/42150007/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13224092/,https://doi.org/10.1021/acs.jmedchem.6c00126,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42150007.url,papers/fulltext/inventory/oa/pmid-42150007.pdf,no,
pi-backlog,pmid-42067193,42067193,10.1016/j.slasd.2026.100311,2026,Repurposing drug screen for the identification of helicase inhibitors from viruses of pandemic concern.,HPMI,Melanie Ott,candidate,high,"viral context plus mechanism/resource terms: virus, viral, sars, screen",PMC13387393,https://pubmed.ncbi.nlm.nih.gov/42067193/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13387393/,https://doi.org/10.1016/j.slasd.2026.100311,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42067193.url,papers/fulltext/inventory/oa/pmid-42067193.pdf,no,
pi-backlog,pmid-42013838,42013838,10.1016/j.cell.2026.03.046,2026,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,HPMI,Andrej Sali,candidate,high,"viral context plus mechanism/resource terms: virus, viral, hiv, interaction",PMC13105272,https://pubmed.ncbi.nlm.nih.gov/42013838/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13105272/,https://doi.org/10.1016/j.cell.2026.03.046,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42013838.url,papers/fulltext/inventory/oa/pmid-42013838.pdf,no,
pi-backlog,pmid-41917196,41917196,10.1038/s41551-026-01642-6,2026,Programmable kinetic barcoding for multiplexed RNA detection with Cas13a.,HPMI,Melanie Ott,high,high,explicit cross-virus or shared-host framing in title/abstract,,https://pubmed.ncbi.nlm.nih.gov/41917196/,,https://doi.org/10.1038/s41551-026-01642-6,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-41917196.url,papers/fulltext/inventory/oa/pmid-41917196.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-41757169,41757169,10.64898/2026.02.18.26346542,2026,Early Fc-effector antibody signatures impact COVID-19 disease trajectory.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: sars, proteomics",PMC12934865,https://pubmed.ncbi.nlm.nih.gov/41757169/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12934865/,https://doi.org/10.64898/2026.02.18.26346542,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41757169.url,papers/fulltext/inventory/oa/pmid-41757169.pdf,no,
