paper_id,pmid,priority_bucket,reuse_value,pathway_relevance,source_collection,center,pi_candidates,title,viruses,host_systems,assay_types,dataset_accessions,resource_types,resource_links
pmid-38375062,38375062,tier_1,medium,medium,pi-backlog,CViSB,Donald S Grant,Upper Airway Epithelial Tissue Transcriptome Analysis Reveals Immune Signatures Associated with COVID-19 Severity in Ghanaians.,sars_cov_2;sars_cov_1;coronavirus_general,airway_epithelium,,GEO:GSE166530,,
pmid-37000623,37000623,tier_1,medium,medium,current-program,CViSB,Ryan McNamara,Fc-mediated pan-sarbecovirus protection after alphavirus vector vaccination.,sars_cov_2;coronavirus_general,Vero_E6_cells;macrophages;mice;hamsters;bat_cells_or_hosts;human_patients,network_analysis,,GitHub,github.com/LoosC/systemsseRology
pmid-36095012,36095012,tier_1,medium,medium,pi-backlog,HPMI,Melanie Ott,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,sars_cov_2,A549_cells;Calu-3_cells;HEK293T_cells;Vero_E6_cells;human_lung_tissue;mice,proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;imaging;genetic_perturbation,,GitHub,github.com/GoldfarbLab/H522_paper_figures;github.com/mariuswalter/SIRT5_paper
pmid-35018374,35018374,tier_1,medium,medium,pi-backlog,HPMI,Melanie Ott,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,sars_cov_2,A549_cells;Calu-3_cells;HEK293T_cells;Vero_E6_cells;human_lung_tissue;mice,proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;imaging;genetic_perturbation,,GitHub,github.com/GoldfarbLab/H522_paper_figures;github.com/mariuswalter/SIRT5_paper
pmid-34937051,34937051,tier_1,medium,medium,current-program,SCRIPT,Richard Wunderink,Local and systemic responses to SARS-CoV-2 infection in children and adults.,sars_cov_2,PBMCs;macrophages;airway_epithelium;mice;human_patients,transcriptomics;single_cell;imaging;proteogenomics,,GitHub,github.com/julianeweller/mg2sc
pmid-34731594,34731594,tier_1,medium,medium,current-program,,,Age-related Differences in the Nasal Mucosal Immune Response to SARS-CoV-2.,sars_cov_2;rsv;coronavirus_general,macrophages;airway_epithelium;human_patients,transcriptomics;single_cell;network_analysis,,GitHub,github.com/NUPulmonary/2021_Koch
pmid-34171302,34171302,tier_1,medium,medium,hpmi,HPMI,,"An ancient viral epidemic involving host coronavirus interacting genes more than 20,000 years ago in East Asia.",sars_cov_2;coronavirus_general,human_patients,proteomics;protein_interaction_mapping;network_analysis;genetic_perturbation,,GitHub,github.com/DavidPierreEnard/Gene_Set_Enrichment_Pipeline;github.com/evotools/hapbin;github.com/szpiech/selscan
pmid-40579228,40579228,tier_1,medium,low,hpmi,HPMI,,Inference of differential kinase interaction networks with KINference.,sars_cov_2,Calu-3_cells,phosphoproteomics;network_analysis,,GitHub,github.com/bionetslab/KINference;github.com/bionetslab/KINference-Evaluation-Scripts
pmid-38168164,38168164,tier_1,medium,low,current-program,,,Altered RSV Epidemiology and Genetic Diversity Following the COVID-19 Pandemic.,sars_cov_2;rsv,human_patients,network_analysis,,GitHub,github.com/erg6437/RSV-Molecular-Epidemiology;github.com/gwcbi/haphpipe
pmid-35325204,35325204,tier_1,medium,low,current-program,,,Selection Analysis Identifies Clusters of Unusual Mutational Changes in Omicron Lineage BA.1 That Likely Impact Spike Function.,sars_cov_2,bat_cells_or_hosts;human_patients,network_analysis,,GitHub,github.com/veg/omicron-selection;github.com/veg/tn93
pmid-35186917,35186917,tier_1,medium,low,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Profiling Selective Packaging of Host RNA and Viral RNA Modification in SARS-CoV-2 Viral Preparations.,sars_cov_2,HEK293T_cells;Vero_E6_cells;human_patients,transcriptomics,,GitHub,github.com/BioInfoTools/BBMap
pmid-34981069,34981069,tier_1,medium,low,current-program,,,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,sars_cov_2,,,,GitHub,github.com/COG-UK/Delta-analysis;github.com/ViralVerity/beastgenpy;github.com/cov-lineages/scorpio;github.com/owid/covid-19-data/blob/master/public/data/owid-covid-data.csv
pmid-34981043,34981043,tier_1,medium,low,current-program,,,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,sars_cov_2,,,,GitHub,github.com/COG-UK/Delta-analysis;github.com/ViralVerity/beastgenpy;github.com/cov-lineages/scorpio;github.com/owid/covid-19-data/blob/master/public/data/owid-covid-data.csv;github.com/sumalibajaj/Delta-Statistical-analysis-share
pmid-33429418,33429418,tier_1,medium,low,current-program,CViSB,Donald S Grant;Richard Wunderink,Circuits between infected macrophages and T cells in SARS-CoV-2 pneumonia.,sars_cov_2;sars_cov_1;coronavirus_general,macrophages;human_lung_tissue;mice;human_patients,transcriptomics;single_cell;network_analysis;imaging,,GitHub,github.com/LungCellAtlas/FastCAR;github.com/NUPulmonary/2020_Grant;github.com/NUPulmonary/utils/blob/master/R/k_means_Figure.R
