paper_id,title,pmid,doi,collection_route,year,paper_status,dataset_scan_status,resource_scan_status
pmid-42149727,Cas9(+) conditionally immortalized neutrophil progenitors as a tool for genome-wide CRISPR screening for neutrophil differentiation and function.,42149727,10.7554/eLife.82289,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-42134328,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,42134328,10.1016/j.chom.2026.04.015,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-41797714,Human iPSC-derived alveolar macrophages reveal macrophage subtype functions of itaconate in M. tuberculosis defense.,41797714,10.1172/jci.insight.198342,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-41700894,Harnessing evolution: leveraging bacterial isoprenoid pathway diversity toward improved bioengineering strategies.,41700894,10.1128/jb.00441-25,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-41688792,Membrane-associated effluxosomes coordinate multi-metal resistance in Mycobacterium tuberculosis.,41688792,10.1038/s44318-026-00715-1,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-41676649,Regulation of virion production by the ORF8 signal peptide across SARS-CoV-2 variants.,41676649,10.1101/2024.03.05.583578,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-41648602,Amplified genome editing by in vivo editor production.,41648602,10.64898/2026.01.13.699115,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-41555498,textToKnowledgeGraph: generation of molecular interaction knowledge graphs using large language models for exploration in Cytoscape.,41555498,10.1093/bioinformatics/btag031,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-41231971,Recurrent acquisition of nuclease-protease pairs in antiviral immunity.,41231971,10.1126/science.aea8769,hpmi_grant_query,2026,metadata_ingested,pending,pending
pmid-41392175,A non-spike nucleocapsid R204P mutation in SARS-CoV-2 Omicron XEC enhances inflammation and pathogenicity.,41392175,10.1038/s41467-025-67455-4,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-41256720,Genome-wide screen in Mycobacterium tuberculosis infected macrophages reveals innate regulation of antibacterial mediators by IRF2.,41256720,10.1101/2025.09.26.678671,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-41249169,Characterizing and controlling CRISPR repair outcomes in nondividing human cells.,41249169,10.1038/s41467-025-66058-3,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-41208107,Shared and distinct responses of human and murine alveolar macrophages and monocyte-derived macrophages to Mycobacterium tuberculosis.,41208107,10.1093/immhor/vlaf051,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-41171885,Mycobacterium tuberculosis triggers reduced inflammatory cytokine responses and virulence in mice lacking Tax1bp1.,41171885,10.1371/journal.ppat.1012829,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-41165411,The mevalonate pathway of isoprenoid biosynthesis supports metabolic flexibility in Mycobacterium marinum.,41165411,10.1128/jb.00287-25,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-41034576,A miniature CRISPR-Cas10 enzyme confers immunity by inhibitory signalling.,41034576,10.1038/s41586-025-09569-9,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40777401,Human iPSC derived alveolar macrophages reveal macrophage subtype specific functions of itaconate in M. tuberculosis host defense.,40777401,10.1101/2025.07.23.664455,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40777357,textToKnowledgeGraph: Generation of Molecular Interaction Knowledge Graphs Using Large Language Models for Exploration in Cytoscape.,40777357,10.1101/2025.07.17.664328,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40766380,"An unusual genetic switch controls Mycobacterium avium pathogenesis, antibiotic resistance and colony morphology.",40766380,10.1101/2025.07.28.667291,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40672248,The mevalonate pathway of isoprenoid biosynthesis supports metabolic flexibility in Mycobacterium marinum.,40672248,10.1101/2025.07.11.664281,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40671523,Directed evolution expands CRISPR-Cas12a genome-editing capacity.,40671523,10.1093/nar/gkaf649,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40654677,Improving RNA Secondary Structure Prediction Through Expanded Training Data.,40654677,10.1101/2025.05.03.652028,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40579228,Inference of differential kinase interaction networks with KINference.,40579228,10.1093/bioinformatics/btaf349,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40502047,A non-spike nucleocapsid R204P mutation in SARS-CoV-2 Omicron XEC enhances inflammation and pathogenicity.,40502047,10.1101/2025.05.28.656516,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40436823,WNK1 mediates M-CSF-induced macropinocytosis to enforce macrophage lineage fidelity.,40436823,10.1038/s41467-025-59901-0,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40402573,Myeloid cell genome-wide screen identifies variants associated with Mycobacterium tuberculosis-induced cytokine transcriptional responses.,40402573,10.1172/JCI179822,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40163530,Enhanced RNA replication and pathogenesis in recent SARS-CoV-2 variants harboring the L260F mutation in NSP6.,40163530,10.1371/journal.ppat.1013020,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40093075,Shared and distinct responses of human and murine alveolar macrophages and monocyte-derived macrophages to Mycobacterium tuberculosis.,40093075,10.1101/2025.02.28.640814,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-40025722,Affinity Purification Mass Spectrometry on the Orbitrap-Astral Mass Spectrometer Enables High-Throughput Protein-Protein Interaction Mapping.,40025722,10.1021/acs.jproteome.4c01040,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-39990302,Mutational scanning of TnpB reveals latent activity for genome editing.,39990302,10.1101/2025.02.11.637750,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-39969084,Torsional twist of the SARS-CoV and SARS-CoV-2 SUD-N and SUD-M domains.,39969084,10.1002/pro.70050,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-39966655,Single-molecule live-cell RNA imaging with CRISPR-Csm.,39966655,10.1038/s41587-024-02540-5,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-39747192,Functional protein mining with conformal guarantees.,39747192,10.1038/s41467-024-55676-y,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-39698811,CRISPR-Cas12a bends DNA to destabilize base pairs during target interrogation.,39698811,10.1093/nar/gkae1192,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-39415058,Lung and liver editing by lipid nanoparticle delivery of a stable CRISPR-Cas9 ribonucleoprotein.,39415058,10.1038/s41587-024-02437-3,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-38979269,Neuronal DNA repair reveals strategies to influence CRISPR editing outcomes.,38979269,10.1101/2024.06.25.600517,hpmi_grant_query,2025,metadata_ingested,pending,pending
pmid-39763950,Tax1bp1 enhances bacterial virulence and promotes inflammatory responses during Mycobacterium tuberculosis infection of alveolar macrophages.,39763950,10.1101/2024.12.16.628616,hpmi_grant_query,2024,metadata_ingested,pending,pending
pmid-39638800,RNA language models predict mutations that improve RNA function.,39638800,10.1038/s41467-024-54812-y,hpmi_grant_query,2024,metadata_ingested,pending,pending
pmid-39571001,SARS-CoV-2 evolution balances conflicting roles of N protein phosphorylation.,39571001,10.1371/journal.ppat.1012741,hpmi_grant_query,2024,metadata_ingested,pending,pending
pmid-39547210,Discovery and significance of protein-protein interactions in health and disease.,39547210,10.1016/j.cell.2024.10.038,hpmi_grant_query,2024,metadata_ingested,pending,pending
pmid-39488835,Protocol for mapping differential protein-protein interaction networks using affinity purification-mass spectrometry.,39488835,10.1016/j.xpro.2024.103286,hpmi_grant_query,2024,metadata_ingested,pending,pending
