paper_id,pmid,year,title,abstract_excerpt,center,pi_candidates,pathogens,viruses,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,review_status,notes
pmid-42518274,42518274,2026,The CRAC channel inhibitor Auxora Reprograms Pathogenic Alveolar Macrophage-T Cell Circuits in Viral Pneumonia.,,CViSB,Donald S Grant;Richard Wunderink,,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,pending,
pmid-42496611,42496611,2026,Pre-exposure to phosphate-buffer saline (PBS) renders some Pseudomonas aeruginosa strains susceptible to triclosan on solid medium.,"Triclosan is an antibiotic frequently used to selectively isolate Pseudomonas aeruginosa from environmental and animal samples. Here, we report that while nine tested P. aeruginosa strains were indeed triclosan-resistant when grown on Luria Bertani agar supplemented with tricl...",SCRIPT,Alan Hauser,pseudomonas_aeruginosa,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-42429782,42429782,2026,Predictive accuracy of population meropenem models in critically ill pneumonia patients.,Population pharmacokinetic (PK) models may not generalize across critically ill populations. We evaluated the transportability of published parametric and nonparametric meropenem models as Bayesian priors. Seven published meropenem models were implemented in Monolix 2024R1. No...,SCRIPT,Richard Wunderink,,,clinical_modeling,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-42393236,42393236,2026,Longitudinal analysis of drift in the circulating human antibody repertoire over four years.,"The human immune system is a sophisticated network of cells and molecules that plays a vital role in safeguarding the body against a broad range of foreign agents. One of the key components of the immune system is the circulating antibody repertoire, a vast collection of diffe...",,,,influenza,,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-42258748,42258748,2026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,"Community-acquired pneumonia is a major cause of morbidity and mortality globally. Specific molecular endotypes are currently not well defined, and different viral or bacterial pathogens may trigger specific host responses and pathogenic mechanisms. We performed longitudinal p...",CViSB,Donald S Grant;Richard Wunderink,,sars-cov-2;sars-cov;influenza,proteomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,high,"recent paper with relevant terms: viral, sars, cov, influenza",pending,
pmid-42182519,42182519,2026,Pathogen-specific host responses define distinct pneumonia endotypes in the human lung.,"Pneumonia is the leading cause of death from infectious disease worldwide. The diagnosis and treatment of patients with pneumonia lag behind other major conditions, relying on syndromic definitions that lack molecular resolution and ignore underlying endotypes. We sought to te...",SCRIPT,Richard Wunderink,,sars-cov-2;influenza,transcriptomics;clinical_modeling,data_or_analysis,candidate,relevant viral/host/pathway terms matched: host-pathogen,high,recent paper with relevant terms: host-pathogen,pending,
pmid-42179346,42179346,2026,"A multiplexed, systems-based approach for prediction of antibody neutralization breadth for soluble human receptors.","For endemically circulating viruses, quantifying neutralization capacity of antibodies in a rapid and high-throughput manner is paramount given the ever-evolving targets of neutralization. Moreover, identifying features of an antibody response correlating with neutralization a...",CViSB,Ryan McNamara,,sars-cov-2;sars-cov;influenza,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,"recent paper with relevant terms: viral, sars, cov",pending,
pmid-42141015,42141015,2026,Umbilical cord blood cell transcriptional and methylation signatures at birth are associated with BPD development and chorioamnionitis: a pilot study.,"Bronchopulmonary dysplasia (BPD) is the most common respiratory disease in preterm infants born at less than 28 weeks gestation. Most existing clinical prediction models for BPD show limited accuracy in predicting BPD development when validated using external data, stressing t...",,,,,transcriptomics;epigenomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41909118,41909118,2026,Development of a Pilot Machine Learning Model to Predict Successful Short-Term Treatment Success in Critically Ill Patients With Community-Acquired Pneumonia.,,SCRIPT,Richard Wunderink,,,clinical_modeling,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41872475,41872475,2026,Author Correction: Systematic data capture reduces the need for source data verification: exploratory analysis from a phase 2 multicenter randomized controlled platform trial.,,,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41837898,41837898,2026,Comparing clinical assessments of pneumonia to bronchoalveolar lavage results in critically ill patients with suspected pneumonia.,"RATIONALE: While clinical criteria are used to diagnose pneumonia in critically ill patients, rates of concordance between a clinician's suspicion for pneumonia and a diagnosis of lower respiratory tract infection using bronchoalveolar lavage (BAL) results are undefined. OBJEC...",SCRIPT,Richard Wunderink,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41807181,41807181,2026,Single-cell RNAseq identifies persistent epithelial and immune dysfunction in PwCF by mitigating inter-individual sampling heterogeneity.,"INTRODUCTION: Nasal epithelium (NE) is used as a surrogate for lower airway epithelium in cystic fibrosis (CF). However, NE is composed of diverse cell types with unique functions; changes to this heterogeneous tissue in disease can be cell-type specific. To explore the impact...",,,,,transcriptomics,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
