paper_id,pmid,source_collection,year,title,center,pi_candidates,previous_subset_reason,parse_status,body_word_count,decision,decision_reason,title_abstract_virus_hits,title_abstract_specific_virus_hits,title_abstract_mechanism_hits,virus_hits,mechanism_hits,cross_virus_hits,off_topic_hits,non_viral_pathogen_hits,method_resource_hits,therapeutic_clinical_hits,body_excerpt
pmid-37758692,37758692,hpmi,2023,Proteomic and genetic analyses of influenza A viruses identify pan-viral host targets.,HPMI,,explicit cross-virus/shared-host signal,cached_normalized,19723,relevant,explicit cross-virus/shared-host full-text language: pan-viral,virus;viral;influenza;coronavirus;sars-cov-2;sars,influenza;coronavirus;sars-cov-2;sars;h1n1;h3n2;h5n1,host factor;host factors;interaction;interactions;protein interaction;replication;network,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19,host factor;host factors;host response;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;screen;replication;macrophage;epithelial;network,pan-viral,kidney,bacterium;salmonella;candida,,,"ntial to virus replication rather than directly targeting viral-encoded factors. Thus, HDTs largely side-step the challenge of developed drug resistance and have the potential for pan-viral efficacy, as many diverse viruses utilize the same host pathways 15 – 17 . Proteomic approaches that identify virus-host protein-protein interactions (PPIs) and virus-induced changes in host signaling pathways can pinpoint key host linchpins essential to virus propagation 18 – 33 . Global IAV-human PPI networ"
pmid-33060197,33060197,hpmi,2020,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms.,HPMI,,explicit cross-virus/shared-host signal,normalized,16444,relevant,explicit cross-virus/shared-host full-text language: pan-viral,virus;viral;coronavirus;sars-cov-2;sars,coronavirus;sars-cov-2;sars,host factor;host factors;interaction;interactions;protein interaction;screen;network,virus;viral;coronavirus;sars-cov-2;sars;covid-19;hiv,host factor;host factors;pathway;interaction;interactions;interactome;protein interaction;proteomics;screen;crispr;dependency;replication;epithelial;network,pan-viral,fracture,bacterial;streptococcus;candida,,,"A central goal of this study is to understand, from a systems level, the conservation of target proteins and cellular processes between SARS-CoV-2, SARS-CoV-1, and MERS-CoV, thereby identifying shared vulnerabilities that can be targeted with antiviral therapeutics. All three strains encode four homologous structural proteins (E, M, N, and S) and 16 nonstructural proteins (Nsps). The latter are proteolytically cleaved from a polyprotein precursor that is expressed from one large open reading fra"
pmid-42013838,42013838,pi-backlog,2026,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,HPMI,Andrej Sali,"viral context plus mechanism/resource terms: virus, viral, hiv, interaction",cached_normalized,15298,relevant,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, host factor, host factors",virus;viral;hiv,hiv,host factor;host factors;interaction;screen;crispr,virus;viral;sars-cov-2;sars;hiv,host factor;host factors;pathway;pathways;interaction;interactions;protein interaction;proteomics;screen;crispr;dependency;restriction factor;replication;macrophage;network,,cancer;kidney,candida,,,"al infection are known as proviral or dependency factors, whereas those that inhibit viral infection are referred to as antiviral or restriction factors. 1 – 4 Modulation of these host factors represents a promising strategy to impede viral replication. Therefore, extensive efforts have been made to identify the critical host effectors that regulate HIV infection, including large-scale screens based on RNA interference and CRISPR-Cas9. 5 – 10 Unfortunately, the overlap between these efforts has"
pmid-37738970,37738970,hpmi,2023,SARS-CoV-2 variants evolve convergent strategies to remodel the host response.,HPMI,,candidate relevance plus virus/pathogen/assay support,cached_normalized,14280,relevant,"explicit cross-virus/shared-host full-text language: cross virus, conserved host",virus;viral;sars-cov-2;sars;covid-19,sars-cov-2;sars;covid-19,host response;interaction;interactions;protein interaction,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;hiv,host factor;host response;pathway;pathways;interaction;interactions;protein interaction;proteomics;transcriptomics;screen;immune evasion;replication;epithelial;network,cross virus;conserved host;host adaptation,ovarian,bacterial,,,"ally performed affinity purification-mass spectrometry (AP-MS) on ectopically overexpressed VOC and W1 proteins to define changes in virus-host protein interactions ( Fig. 1D ). Across virus and host, our proteomics data captured 58,000–62,000 unique peptides ( Fig. S1D ) mapping to 4800–5100 proteins ( Fig. S1E ) per sample for abundance, and 23,000–35,000 unique phosphorylated peptides ( Fig. S1F – G ) mapping to 3700–4300 phosphorylated proteins ( Fig. S1H ), with strong reproducibility acro"
pmid-42134328,42134328,hpmi,2026,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,HPMI,,explicit cross-virus/shared-host signal,cached_normalized,14226,relevant,"explicit cross-virus/shared-host full-text language: cross virus, shared host, conserved host",virus;coronavirus;sars-cov-2;sars,coronavirus;sars-cov-2;sars,interaction;interactions;protein interaction;restriction factor;immune evasion;network,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;hiv,host factor;host factors;host response;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;transcriptomics;screen;dependency;restriction factor;immune evasion;replication;epithelial;network,cross virus;shared host;conserved host;host adaptation;species barriers,kidney,bacterial;candida,,,"PPI’). This analysis revealed differential binding to mitochondrial proteins Tom70 and MTARC2, particularly in bat cells ( Figure 3C ). While Orf9b-Tom70 interaction is conserved across viruses in HEK293T cells, SARS-CoV-2 interacts with Tom70 more strongly than RaTG13 in bat cells. Conversely, MTARC2-Orf9b interaction was detected only in bat cells and was enriched for RaTG13 Orf9b. MTARC2 is a mitochondrial amidoxime-reductase involved in lipid metabolism and redox regulation 27 , 28 and has n"
pmid-42182519,42182519,current-program,2026,Pathogen-specific host responses define distinct pneumonia endotypes in the human lung.,SCRIPT,Richard Wunderink,candidate relevance plus virus/pathogen/assay support,cached_normalized,13704,relevant,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, covid-19, host response, interaction, interactions, alveolar",covid-19,covid-19,host response;interaction;interactions;alveolar,virus;viral;influenza;sars-cov-2;sars;covid-19;hiv,host response;pathway;pathways;interaction;interactions;macrophage;alveolar;epithelial,broad-spectrum,hemodialysis,legionella;bacterial;fungal;streptococcus;pneumophila,,,"result, guideline-based care applies similar therapy to all hospitalized patients meeting the syndromic definition, necessarily leading to overtreatment. In particular, empirical broad-spectrum antibiotics are recommended regardless of the underlying pathogen, even when a viral etiology is identified, contributing to disruption of the patient microbiome and the emergence of antibiotic-resistant pathogens, a growing public health concern 5 . These limitations may partially explain the persistent"
pmid-34171302,34171302,hpmi,2021,"An ancient viral epidemic involving host coronavirus interacting genes more than 20,000 years ago in East Asia.",HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,12795,relevant,explicit cross-virus/shared-host full-text language: multiple viruses,virus;viral;coronavirus;sars-cov-2;sars;covid-19,coronavirus;sars-cov-2;sars;covid-19,interaction;interactions,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;hiv;zika,interaction;interactions;interactome;protein interaction;screen;replication;network,multiple viruses;host adaptation,,candida,,,"manually curated from coronaviruses literature (e.g., SARS-CoV-1, MERS, HCoV-NL63, etc.; Data S1 C) 16 and are part of a larger set of 5,291 VIPs ( STAR Methods ; Data S1 A) from multiple viruses. 16 Our focus on VIPs is motivated by evidence indicating that these protein interactions are the central mechanism that viruses use to hijack the host cellular machinery. 16 , 19 Accordingly, VIPs are much more likely to have functional impacts on viruses than other proteins ( STAR Methods ). An alter"
pmid-32645325,32645325,hpmi,2020,The Global Phosphorylation Landscape of SARS-CoV-2 Infection.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,11779,relevant,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, coronavirus, sars-cov-2, sars, covid-19, pathway",virus;viral;coronavirus;sars-cov-2;sars;covid-19,coronavirus;sars-cov-2;sars;covid-19,pathway;pathways;proteomics,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;hiv;dengue;ebola,host response;pathway;pathways;interaction;interactions;protein interaction;proteomics;dependency;restriction factor;replication;epithelial;network,broad-spectrum,cancer;tumor;leukemia;ovarian;kidney;acute myeloid leukemia,,,,"vaccines and therapies to protect against and treat COVID-19. Clinical management of COVID-19 is largely limited to infection prevention and supportive care. So far, remdesivir, a broad-spectrum antiviral agent, is the only medication approved for emergency use to treat COVID-19 by the US Food and Drug Administration (FDA) ( Grein et al., 2020 ). Although the evidence supporting remdesivir use in patients with advanced COVID-19 is promising, there remains an urgent need for potent SARS-CoV-2 the"
pmid-38411080,38411080,pi-backlog,2024,CRISPR-Cas9 screen of E3 ubiquitin ligases identifies TRAF2 and UHRF1 as regulators of HIV latency in primary human T cells.,HPMI,Melanie Ott,"viral context plus mechanism/resource terms: virus, viral, hiv, pathway, proteomics, screen",cached_normalized,11432,relevant,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, pathway, pathways",virus;viral;hiv,hiv,pathway;pathways;interaction;interactions;proteomics;screen;crispr;replication,virus;viral;hiv,pathway;pathways;interaction;interactions;proteomics;screen;crispr;replication,,,,,,
pmid-37738983,37738983,hpmi,2023,Impact of SARS-CoV-2 ORF6 and its variant polymorphisms on host responses and viral pathogenesis.,HPMI,,candidate relevance plus virus/pathogen/assay support,cached_normalized,11339,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",virus;viral;sars-cov-2;sars,sars-cov-2;sars,host response;interaction;interactions;immune evasion,virus;viral;coronavirus;sars-cov-2;sars;covid-19,host response;pathway;pathways;interaction;interactions;proteomics;screen;immune evasion;replication;alveolar;epithelial,,,bacterial,,,"ists such as ORF9B and ORF6, and enhanced innate immune suppression 24 . In this study, we closely dissect the impact of ORF6 and its recently emerged variant polymorphisms on the host response to SARS-CoV-2 infection to gain more detailed insights into the mechanisms employed by SARS-CoV-2 to escape innate antiviral responses and drive COVID-19 pathogenesis. We and others have previously shown that the SARS-CoV-2 accessory protein ORF6 directly interacts with Nup98-Rae1 at the nuclear pore comp"
