paper_id,pmid,source_collection,year,title,center,pi_candidates,decision_reason,parse_status,body_word_count
pmid-37758692,37758692,hpmi,2023,Proteomic and genetic analyses of influenza A viruses identify pan-viral host targets.,HPMI,,explicit cross-virus/shared-host full-text language: pan-viral,cached_normalized,19723
pmid-33060197,33060197,hpmi,2020,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms.,HPMI,,explicit cross-virus/shared-host full-text language: pan-viral,normalized,16444
pmid-42013838,42013838,pi-backlog,2026,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,HPMI,Andrej Sali,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, host factor, host factors",cached_normalized,15298
pmid-37738970,37738970,hpmi,2023,SARS-CoV-2 variants evolve convergent strategies to remodel the host response.,HPMI,,"explicit cross-virus/shared-host full-text language: cross virus, conserved host",cached_normalized,14280
pmid-42134328,42134328,hpmi,2026,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,HPMI,,"explicit cross-virus/shared-host full-text language: cross virus, shared host, conserved host",cached_normalized,14226
pmid-42182519,42182519,current-program,2026,Pathogen-specific host responses define distinct pneumonia endotypes in the human lung.,SCRIPT,Richard Wunderink,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, covid-19, host response, interaction, interactions, alveolar",cached_normalized,13704
pmid-34171302,34171302,hpmi,2021,"An ancient viral epidemic involving host coronavirus interacting genes more than 20,000 years ago in East Asia.",HPMI,,explicit cross-virus/shared-host full-text language: multiple viruses,normalized,12795
pmid-32645325,32645325,hpmi,2020,The Global Phosphorylation Landscape of SARS-CoV-2 Infection.,HPMI,,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, coronavirus, sars-cov-2, sars, covid-19, pathway",normalized,11779
pmid-38411080,38411080,pi-backlog,2024,CRISPR-Cas9 screen of E3 ubiquitin ligases identifies TRAF2 and UHRF1 as regulators of HIV latency in primary human T cells.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, pathway, pathways",cached_normalized,11432
pmid-37738983,37738983,hpmi,2023,Impact of SARS-CoV-2 ORF6 and its variant polymorphisms on host responses and viral pathogenesis.,HPMI,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",cached_normalized,11339
pmid-31682641,31682641,pi-backlog,2019,The ETS transcription factor ELF1 regulates a broadly antiviral program distinct from the type I interferon response.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, replication",normalized,11030
